Abochornado,1
Incómodo,1
Perplejo,1
Sonrojado,1
Desconcertado,1
Titubeante,1
Acongojado,1
Humilde,1
Reticente,1
Cohibido ,1
Boquiabierto,1
Retraído,1
Dubitativo,1
Encogido,1
Inseguro,1
Avergonzado,2
Enfadado,2
Contrito,2
Culposo,2
Injuriado,2
Culpable,2
Subestimado,2
Intimidado,2
Penitente,2
Pesaroso,2
Arrepentido,2
Recriminatorio ,2
Pudoroso,2
Refl exivo,2
Humillado,2
Menospreciado,3
Degradado,3
Disminuido,3
Desgraciad,3
Lleno de culpa,3
Anulado por la culpa,3
Evitativo,3
Mortifi cado,3
Sentirse excluido ,3
Auto condenado,3
Autofl agelado ,3
Ruborizado,3
Estigmatizado,3
Auto castigador,3
Contemplativo,1
Calmo,1
Desconectado,1
Distraído,1
Conectado a tierra,1
Desidioso,1
Decaído,1
Estable,1
Pesaroso,1
Relajado,1
Aliviado,1
Nostálgico,1
Ensimismado,1
Amilanado,2
Desanimado,2
Descorazonado,2
Desconsolado,2
Oprimido,2
Exhausto,2
Desalentado,2
Lánguido,2
Desilusionado,2
Afligido,2
Apesadumbrado,2
Melancólico,2
Atribulado,2
Dolido,2
Entristecido,2
Emotivo,2
Cansado del mundo,2
Angustiado,3
Doliente,3
Sombrío,3
Deprimido,3
Sin esperanza,3
Alicaído,3
Afectado,3
Con el corazón roto,3
Desesperanzado,3
Inconsolable,3
Taciturno,3
Quebrado,3
Molesto,1
Apático,1
Certero,1
Aburrido,1
Claro,1
Frío,1
Malhumorado,1
Irritable,1
Crítico,1
Enojado,1
Desagradado,1
Asertivo,1
Desapegado,1
Decidido,1
Disconforme,1
Frustrado,1
Impaciente,1
Indiferente,1
Irritado,1
Fastidiado,1
Insultado,2
Muy molesto,2 
Enrabiado,2
Antagónico,2
Arrogante,2
Exasperado,2
Porfiado,2
Despectivo,2 
Embravecido,2
Indignado,2
Exaltado,2
Ofendido,2
Rencoroso,2
Sarcástico,2
Agresivo,3
Belicoso,3
Encolerizado,3
Asqueado,3
Furioso,3
Merece ser odiado,3  
Hostil,3
Irascible,3
Furibundo,3
Amenazante,3
Escandalizado,3
Vociferante,3
Delirante,3
Rabioso,3
Malicioso,3
Vengativo,3
Despiadado,3
Vindicativo,3
Violento,3
Enfurecido,3
Airado,3
Iracundo,3
Alerta,1
Focalizado,1
Aprensivo ,1
Cauto,1
Preocupado,1
Confundido,1
Curioso,1
Desconcertado,1
Desorientado,1
Intranquilo,1
Inquieto,1
Vacilante ,1
Excitable,1
Desasosegado,1
Titubeante,1
Indeciso,1
Inseguro,1
Instintivo,1
Intuitivo,1
Absorto,1
Apocado,1
Tímido,1
Alborotado,1
Atento,1
Amenazado,1
Asustado,2
Alarmado,2
Ansioso,2
Aversivo,2
Desconfiado ,2
Miedoso,2
Asustadizo,2
Nervioso,2
Perturbado,2
Exaltado,2
Inestable,2
Sobresaltado,2
Incrédulo,2
Enervado,2
Alterado,2
Precavido,2
Preocupado,2
Receloso,2
Tenso,2
Evitativo,2
Lleno de pavor,3
Horrorizado,3
Aterrado,3
Paralizado,3
Huidizo,3
Reactivo,3
Impulsivo,3
Apanicado,3
Petrifi cado,3
Fóbico,3
Conmocionado,3
Aterrorizado,3
Escéptico,1
Desconfiado,1
Inseguro,1
Suspicaz,1
Protector,1
Incrédulo,1
Vulnerable,1
Observante,1
Codicioso,2
Exigente,2
Deseoso,2
Estratégico,2
Comparativo,2
Envidioso,2
Celoso,2
Amenazado,2
Enrollado,2
Complicado,2
Avaro,3
Goloso,3
Tacaño,3
Mezquino,3
Verde de,3
envidia,3
Constantemente,3
Celoso,3
Posesivo,3
Rencoroso,3
Apático,1
Siempre irritado o enojado,1
Deprimido,1
Desanimado,1
Desinteresado,1
Descorazonado,1
Sentirse inútil,1
Sin vitalidad,1
Indefenso,1
Sin humor,1
Impulsivo,1
Indiferente,1
Aislado,1
Letárgico,1
Desidioso,1
Melancólico,1
Pesimista,1
Sin propósito,1
Retraído,1
Cansado del mundo,1
Abúlico,2
Amargado,2
Aplastado,2
Consternado,2
Desolado,2
Desmoralizado,2
Desesperado,2
Extenuado,2
Vacío,2
Fatalista,2
Abatido,2
Desesperanzado,2
Compungido,2
Miserable,2
Mórbido,2
Abrumado,2
Desapasionado,2
Incapacidad de sentir placer,2
Temperamental,2
Agónico,3
Angustiado,3
Sombrío,3
Buscando la muerte,3
Devastado,3
Condenado,3
Nihilista,3
Insensible,3
Temerario,3
Autodestructivo,3
Suicida,3
Atormentado,3
Torturado,3
