Contemplativo,1
Contemplativamente,1
Desconectado,1
Desconectadamente,1
Distraido,1
Distraidamente,1
Desidioso,1
Desidiosamente,1
Decaido,1
Decaidamente,1
Estable,1
Establemente,1
Pesaroso,1
Pesarosamente,1
Nostalgico,1
Nostalgicamente,1
Ensimismado,1
Ensimismadamente,1
Apatico,1
Apaticamente,1
Desinteresado,1
Desinteresadamente,1
Inutil,1
Inutilmente,1
Sentirse inutil,1
Sin vitalidad,1
Indefenso,1
Sin humor,1
Indiferente,1
Indiferentemente,1
Aislado,1
Aisladamente,1
Pesimista,1
Sin proposito,1
Retraido,1
Retrasadamente,1
Desanimado,2
Desanimadamente,2
Descorazonado,2
Descorazonadamente,2
Desconsolado,2
Desconsoladamente,2
Oprimido,2
Oprimidamente,2
Exhausto,2
Desalentado,2
Desilusionado,2
Desilusion,2
Desilusionadamente,2
Afligido,2
Afligidamente,2
Melancolico,2
Melancolia,2
Melancolicamente,2
Dolido,2
Dolidamente,2
Entristecido,2
Entristecidamente,2
Cansado del mundo,2
Amargado,2
Amargadamente,2
Aplastado,2
Consternado,2
Consternadamente,2
Desolado,2
Desoladamente,2
Desmoralizado,2
Desmoralizadamente,2
Desesperado,2
Desesperadamente,2
Extenuado,2
Extenuadamente,2
Vacio,2
Fatalista,2
Fatal,2
Fatalmente,2
Abatido,2
Abatidamente,2
Miserable,2
Miserablemente,2
Abrumado,2
Abrumadamente,2
Desapasionado,2
Desapasionadamente,2
Incapacidad de sentir placer,2
Angustiado,3
Angustiadamente,3
Doliente,3
Sombrio,3
Sombriamente,3
Deprimido,3
Deprimidamente,3
Sin esperanza,3
Afectado,3
Con el corazon roto,3
Desesperanzado,3
Desesperanzadamente,3
Inconsolable,3
Inconsolablemente,3
Quebrado,3
Triste,3
Tristemente,3
Buscando la muerte,3
Devastado,3
Devastadamente,3
Condenado,3
Condenadamente,3
Insensible,3
Insensiblemente,3
Temerario,3
Temerariamente,3
Autodestructivo,3
Autodestructivamente,3
Suicida,3
Suicidamente,3
Atormentado,3
Atormentadamente,3
Torturado,3
Torturadamente,3
